"sampleID","tubeLabel","plateID","wellPos"
"FIB00079","fib293-b1-t3","FIBp056","D1"
"FIB00209","fib297-b2-t0","FIBp056","D2"
"FIB00233","fib297-b2-t6","FIBp056","D3"
"FIB00369","fib297-b3-t3","FIBp056","D4"
"FIB00083","fib293-b1-t4","FIBp056","E1"
"FIB00213","fib297-b2-t1","FIBp056","E2"
"FIB00237","fib297-b2-t7","FIBp056","E3"
"FIB00374","fib297-b3-t4","FIBp056","E4"
"FIB00087","fib293-b1-t5","FIBp056","F1"
"FIB00217","fib297-b2-t2","FIBp056","F2"
"FIB00241","fib297-b2-t8","FIBp056","F3"
"FIB00379","fib297-b3-t5","FIBp056","F4"
"FIB00175","fib300-b1-t0","FIBp057","A1"
"FIB00199","fib300-b1-t6","FIBp057","A2"
"FIB00304","fib329-b1-t3","FIBp057","A3"
"FIB00179","fib300-b1-t1","FIBp057","B1"
"FIB00203","fib300-b1-t7","FIBp057","B2"
"FIB00312","fib329-b1-t4","FIBp057","B3"
"FIB00183","fib300-b1-t2","FIBp057","C1"
"FIB00207","fib300-b1-t8","FIBp057","C2"
"FIB00320","fib329-b1-t5","FIBp057","C3"
"FIB00187","fib300-b1-t3","FIBp057","D1"
"FIB00282","fib329-b1-t0","FIBp057","D2"
"FIB00329","fib329-b1-t6","FIBp057","D3"
"FIB00191","fib300-b1-t4","FIBp057","E1"
"FIB00290","fib329-b1-t1","FIBp057","E2"
"FIB00336","fib329-b1-t7","FIBp057","E3"
"FIB00195","fib300-b1-t5","FIBp057","F1"
"FIB00296","fib329-b1-t2","FIBp057","F2"
"FIB00350","fib329-b1-t8","FIBp057","F3"
"FIB00131","fib332-b1-t0","FIBp058","A1"
"FIB00161","fib332-b1-t6","FIBp058","A2"
"FIB00222","fib332-b2-t3","FIBp058","A3"
"FIB00433","fib337-b1-t0","FIBp058","A4"
"FIB00469","fib337-b1-t6","FIBp058","A5"
"FIB00136","fib332-b1-t1","FIBp058","B1"
"FIB00166","fib332-b1-t7","FIBp058","B2"
"FIB00226","fib332-b2-t4","FIBp058","B3"
"FIB00444","fib337-b1-t1","FIBp058","B4"
"FIB00478","fib337-b1-t7","FIBp058","B5"
"FIB00141","fib332-b1-t2","FIBp058","C1"
"FIB00171","fib332-b1-t8","FIBp058","C2"
"FIB00230","fib332-b2-t5","FIBp058","C3"
"FIB00449","fib337-b1-t2","FIBp058","C4"
"FIB00483","fib337-b1-t8","FIBp058","C5"
"FIB00146","fib332-b1-t3","FIBp058","D1"
"FIB00210","fib332-b2-t0","FIBp058","D2"
"FIB00234","fib332-b2-t6","FIBp058","D3"
"FIB00454","fib337-b1-t3","FIBp058","D4"
"FIB00151","fib332-b1-t4","FIBp058","E1"
"FIB00214","fib332-b2-t1","FIBp058","E2"
"FIB00238","fib332-b2-t7","FIBp058","E3"
"FIB00459","fib337-b1-t4","FIBp058","E4"
"FIB00156","fib332-b1-t5","FIBp058","F1"
"FIB00218","fib332-b2-t2","FIBp058","F2"
"FIB00242","fib332-b2-t8","FIBp058","F3"
"FIB00464","fib337-b1-t5","FIBp058","F4"
"FIB00287","fib380-b1-t0","FIBp059","A1"
"FIB00332","fib380-b1-t6","FIBp059","A2"
"FIB00407","fib439-b1-t3","FIBp059","A3"
"FIB00283","fib455-b1-t0","FIBp059","A4"
"FIB00330","fib455-b1-t6","FIBp059","A5"
"FIB00259","fib462-b1-t3","FIBp059","A6"
"FIB00291","fib380-b1-t1","FIBp059","B1"
"FIB00339","fib380-b1-t7","FIBp059","B2"
"FIB00410","fib439-b1-t4","FIBp059","B3"
"FIB00289","fib455-b1-t1","FIBp059","B4"
"FIB00340","fib455-b1-t7","FIBp059","B5"
"FIB00263","fib462-b1-t4","FIBp059","B6"
"FIB00299","fib380-b1-t2","FIBp059","C1"
"FIB00348","fib380-b1-t8","FIBp059","C2"
"FIB00419","fib439-b1-t5","FIBp059","C3"
"FIB00300","fib455-b1-t2","FIBp059","C4"
"FIB00349","fib455-b1-t8","FIBp059","C5"
"FIB00267","fib462-b1-t5","FIBp059","C6"
"FIB00309","fib380-b1-t3","FIBp059","D1"
"FIB00398","fib439-b1-t0","FIBp059","D2"
"FIB00423","fib439-b1-t6","FIBp059","D3"
"FIB00306","fib455-b1-t3","FIBp059","D4"
"FIB00247","fib462-b1-t0","FIBp059","D5"
"FIB00271","fib462-b1-t6","FIBp059","D6"
"FIB00318","fib380-b1-t4","FIBp059","E1"
"FIB00402","fib439-b1-t1","FIBp059","E2"
"FIB00426","fib439-b1-t7","FIBp059","E3"
"FIB00315","fib455-b1-t4","FIBp059","E4"
"FIB00251","fib462-b1-t1","FIBp059","E5"
"FIB00275","fib462-b1-t7","FIBp059","E6"
"FIB00321","fib380-b1-t5","FIBp059","F1"
"FIB00405","fib439-b1-t2","FIBp059","F2"
"FIB00431","fib439-b1-t8","FIBp059","F3"
"FIB00327","fib455-b1-t5","FIBp059","F4"
"FIB00255","fib462-b1-t2","FIBp059","F5"
"FIB00279","fib462-b1-t8","FIBp059","F6"
