"sampleID","tubeLabel","plateID","wellPos"
"FIB00064","fib117-b1-t0","FIBp054","A1"
"FIB00088","fib117-b1-t6","FIBp054","A2"
"FIB00184","fib117-b2-t3","FIBp054","A3"
"FIB00003","fib234-b1-t0","FIBp054","A4"
"FIB00019","fib234-b1-t6","FIBp054","A5"
"FIB00068","fib117-b1-t1","FIBp054","B1"
"FIB00092","fib117-b1-t7","FIBp054","B2"
"FIB00188","fib117-b2-t4","FIBp054","B3"
"FIB00004","fib234-b1-t1","FIBp054","B4"
"FIB00022","fib234-b1-t7","FIBp054","B5"
"FIB00072","fib117-b1-t2","FIBp054","C1"
"FIB00096","fib117-b1-t8","FIBp054","C2"
"FIB00192","fib117-b2-t5","FIBp054","C3"
"FIB00007","fib234-b1-t2","FIBp054","C4"
"FIB00027","fib234-b1-t8","FIBp054","C5"
"FIB00076","fib117-b1-t3","FIBp054","D1"
"FIB00172","fib117-b2-t0","FIBp054","D2"
"FIB00196","fib117-b2-t6","FIBp054","D3"
"FIB00012","fib234-b1-t3","FIBp054","D4"
"FIB00080","fib117-b1-t4","FIBp054","E1"
"FIB00176","fib117-b2-t1","FIBp054","E2"
"FIB00200","fib117-b2-t7","FIBp054","E3"
"FIB00013","fib234-b1-t4","FIBp054","E4"
"FIB00084","fib117-b1-t5","FIBp054","F1"
"FIB00180","fib117-b2-t2","FIBp054","F2"
"FIB00204","fib117-b2-t8","FIBp054","F3"
"FIB00014","fib234-b1-t5","FIBp054","F4"
"FIB00065","fib256-b1-t0","FIBp055","A1"
"FIB00089","fib256-b1-t6","FIBp055","A2"
"FIB00186","fib256-b2-t3","FIBp055","A3"
"FIB00245","fib256-b3-t0","FIBp055","A4"
"FIB00269","fib256-b3-t6","FIBp055","A5"
"FIB00069","fib256-b1-t1","FIBp055","B1"
"FIB00093","fib256-b1-t7","FIBp055","B2"
"FIB00190","fib256-b2-t4","FIBp055","B3"
"FIB00249","fib256-b3-t1","FIBp055","B4"
"FIB00273","fib256-b3-t7","FIBp055","B5"
"FIB00073","fib256-b1-t2","FIBp055","C1"
"FIB00097","fib256-b1-t8","FIBp055","C2"
"FIB00194","fib256-b2-t5","FIBp055","C3"
"FIB00253","fib256-b3-t2","FIBp055","C4"
"FIB00277","fib256-b3-t8","FIBp055","C5"
"FIB00077","fib256-b1-t3","FIBp055","D1"
"FIB00174","fib256-b2-t0","FIBp055","D2"
"FIB00198","fib256-b2-t6","FIBp055","D3"
"FIB00257","fib256-b3-t3","FIBp055","D4"
"FIB00081","fib256-b1-t4","FIBp055","E1"
"FIB00178","fib256-b2-t1","FIBp055","E2"
"FIB00202","fib256-b2-t7","FIBp055","E3"
"FIB00261","fib256-b3-t4","FIBp055","E4"
"FIB00085","fib256-b1-t5","FIBp055","F1"
"FIB00182","fib256-b2-t2","FIBp055","F2"
"FIB00206","fib256-b2-t8","FIBp055","F3"
"FIB00265","fib256-b3-t5","FIBp055","F4"
"FIB00067","fib293-b1-t0","FIBp056","A1"
"FIB00091","fib293-b1-t6","FIBp056","A2"
"FIB00221","fib297-b2-t3","FIBp056","A3"
"FIB00354","fib297-b3-t0","FIBp056","A4"
"FIB00384","fib297-b3-t6","FIBp056","A5"
"FIB00071","fib293-b1-t1","FIBp056","B1"
"FIB00095","fib293-b1-t7","FIBp056","B2"
"FIB00225","fib297-b2-t4","FIBp056","B3"
"FIB00359","fib297-b3-t1","FIBp056","B4"
"FIB00389","fib297-b3-t7","FIBp056","B5"
"FIB00075","fib293-b1-t2","FIBp056","C1"
"FIB00099","fib293-b1-t8","FIBp056","C2"
"FIB00229","fib297-b2-t5","FIBp056","C3"
"FIB00364","fib297-b3-t2","FIBp056","C4"
"FIB00394","fib297-b3-t8","FIBp056","C5"
