"sampleID","tubeLabel","plateID","wellPos"
"FIB01183","fib112-fx-t0-1","FIBp045","A1"
"FIB01192","fib274-f1-t1-1","FIBp045","A10"
"FIB01184","fib117-f1-t1-1","FIBp045","A2"
"FIB01185","fib123-f1-t0-1","FIBp045","A3"
"FIB01186","fib123-f1-t1-1","FIBp045","A4"
"FIB01187","fib150-f1-t1-1","FIBp045","A5"
"FIB01188","fib202-f1-t1-1","FIBp045","A6"
"FIB01189","fib212-f1-t1-1","FIBp045","A7"
"FIB01190","fib220-f1-t1-1","FIBp045","A8"
"FIB01191","fib256-f1-t1-1","FIBp045","A9"
"FIB01193","fib284-f1-t1-1","FIBp045","B1"
"FIB01203","fib455-f1-t1-1","FIBp045","B10"
"FIB01195","fib284-f4-t0-1","FIBp045","B2"
"FIB01196","fib297-f1-t1-1","FIBp045","B3"
"FIB01197","fib329-f1-t0-1","FIBp045","B4"
"FIB01198","fib380-f1-t1-1","FIBp045","B5"
"FIB01199","fib420-f1-t1-1","FIBp045","B6"
"FIB01200","fib426-f1-t0-1","FIBp045","B7"
"FIB01201","fib439-f1-t0-1","FIBp045","B8"
"FIB01202","fib439-f3-t0-1","FIBp045","B9"
"FIB01204","fib479-f1-t0-1","FIBp045","C1"
"FIB01205","fib646-f1-t0-1","FIBp045","C2"
"FIB01206","fib659-f1-t0-1","FIBp045","C3"
"FIB01250","fib634_f2_t01","FIBp045","C4"
"FIB01251","fib634_f1_t0","FIBp045","C5"
"FIB01252","fib162_fx_t0","FIBp045","C6"
"FIB01253","fib284_b2_t0","FIBp045","C7"
