"sampleID","tubeLabel","plateID","wellPos"
"FIB00127","fib112-b1-t0","FIBp026","A1"
"FIB00167","fib112-b1-t8","FIBp026","A2"
"FIB00337","fib112-b2-t7","FIBp026","A3"
"FIB00592","fib112-b3-t4","FIBp026","A4"
"FIB00076","fib117-b1-t3","FIBp026","A5"
"FIB00180","fib117-b2-t2","FIBp026","A6"
"FIB00295","fib117-b3-t1","FIBp026","A7"
"FIB00474","fib117-b4-t1","FIBp026","A8"
"FIB00512","fib117-b4-t6","FIBp026","A9"
"FIB00132","fib112-b1-t1","FIBp026","B1"
"FIB00280","fib112-b2-t0","FIBp026","B2"
"FIB00597","fib112-b3-t5","FIBp026","B4"
"FIB00080","fib117-b1-t4","FIBp026","B5"
"FIB00184","fib117-b2-t3","FIBp026","B6"
"FIB00302","fib117-b3-t2","FIBp026","B7"
"FIB00517","fib117-b4-t7","FIBp026","B9"
"FIB00137","fib112-b1-t2","FIBp026","C1"
"FIB00293","fib112-b2-t1","FIBp026","C2"
"FIB00346","fib112-b2-t8","FIBp026","C3"
"FIB00602","fib112-b3-t6","FIBp026","C4"
"FIB00084","fib117-b1-t5","FIBp026","C5"
"FIB00188","fib117-b2-t4","FIBp026","C6"
"FIB00307","fib117-b3-t3","FIBp026","C7"
"FIB00488","fib117-b4-t0","FIBp026","C8"
"FIB00522","fib117-b4-t8","FIBp026","C9"
"FIB00142","fib112-b1-t3","FIBp026","D1"
"FIB00301","fib112-b2-t2","FIBp026","D2"
"FIB00572","fib112-b3-t0","FIBp026","D3"
"FIB00607","fib112-b3-t7","FIBp026","D4"
"FIB00088","fib117-b1-t6","FIBp026","D5"
"FIB00192","fib117-b2-t5","FIBp026","D6"
"FIB00316","fib117-b3-t4","FIBp026","D7"
"FIB00492","fib117-b4-t2","FIBp026","D8"
"FIB00147","fib112-b1-t4","FIBp026","E1"
"FIB00311","fib112-b2-t3","FIBp026","E2"
"FIB00577","fib112-b3-t1","FIBp026","E3"
"FIB00612","fib112-b3-t8","FIBp026","E4"
"FIB00092","fib117-b1-t7","FIBp026","E5"
"FIB00196","fib117-b2-t6","FIBp026","E6"
"FIB00324","fib117-b3-t5","FIBp026","E7"
"FIB00497","fib117-b4-t3","FIBp026","E8"
"FIB00152","fib112-b1-t5","FIBp026","F1"
"FIB00317","fib112-b2-t4","FIBp026","F2"
"FIB00582","fib112-b3-t2","FIBp026","F3"
"FIB00064","fib117-b1-t0","FIBp026","F4"
"FIB00096","fib117-b1-t8","FIBp026","F5"
"FIB00200","fib117-b2-t7","FIBp026","F6"
"FIB00328","fib117-b3-t6","FIBp026","F7"
"FIB00502","fib117-b4-t4","FIBp026","F8"
"FIB00157","fib112-b1-t6","FIBp026","G1"
"FIB00322","fib112-b2-t5","FIBp026","G2"
"FIB00068","fib117-b1-t1","FIBp026","G4"
"FIB00172","fib117-b2-t0","FIBp026","G5"
"FIB00204","fib117-b2-t8","FIBp026","G6"
"FIB00342","fib117-b3-t7","FIBp026","G7"
"FIB00162","fib112-b1-t7","FIBp026","H1"
"FIB00333","fib112-b2-t6","FIBp026","H2"
"FIB00587","fib112-b3-t3","FIBp026","H3"
"FIB00072","fib117-b1-t2","FIBp026","H4"
"FIB00176","fib117-b2-t1","FIBp026","H5"
"FIB00286","fib117-b3-t0","FIBp026","H6"
"FIB00344","fib117-b3-t8","FIBp026","H7"
"FIB00507","fib117-b4-t5","FIBp026","H8"
"FIB00356","fib123-b1-t0","FIBp027","A1"
"FIB00396","fib123-b1-t8","FIBp027","A2"
"FIB00481","fib123-b2-t7","FIBp027","A3"
"FIB00641","fib123-b3-t4","FIBp027","A4"
"FIB00688","fib123-b4-t3","FIBp027","A5"
"FIB00361","fib123-b1-t1","FIBp027","B1"
"FIB00436","fib123-b2-t0","FIBp027","B2"
"FIB00647","fib123-b3-t5","FIBp027","B4"
"FIB00693","fib123-b4-t4","FIBp027","B5"
"FIB00366","fib123-b1-t2","FIBp027","C1"
"FIB00447","fib123-b2-t1","FIBp027","C2"
"FIB00486","fib123-b2-t8","FIBp027","C3"
"FIB00653","fib123-b3-t6","FIBp027","C4"
"FIB00698","fib123-b4-t5","FIBp027","C5"
"FIB00371","fib123-b1-t3","FIBp027","D1"
"FIB00452","fib123-b2-t2","FIBp027","D2"
"FIB00617","fib123-b3-t0","FIBp027","D3"
"FIB00659","fib123-b3-t7","FIBp027","D4"
"FIB00703","fib123-b4-t6","FIBp027","D5"
"FIB00376","fib123-b1-t4","FIBp027","E1"
"FIB00457","fib123-b2-t3","FIBp027","E2"
"FIB00623","fib123-b3-t1","FIBp027","E3"
"FIB00665","fib123-b3-t8","FIBp027","E4"
"FIB00708","fib123-b4-t7","FIBp027","E5"
"FIB00381","fib123-b1-t5","FIBp027","F1"
"FIB00462","fib123-b2-t4","FIBp027","F2"
"FIB00629","fib123-b3-t2","FIBp027","F3"
"FIB00673","fib123-b4-t0","FIBp027","F4"
"FIB00713","fib123-b4-t8","FIBp027","F5"
"FIB00386","fib123-b1-t6","FIBp027","G1"
"FIB00467","fib123-b2-t5","FIBp027","G2"
"FIB00678","fib123-b4-t1","FIBp027","G4"
"FIB00391","fib123-b1-t7","FIBp027","H1"
"FIB00476","fib123-b2-t6","FIBp027","H2"
"FIB00635","fib123-b3-t3","FIBp027","H3"
"FIB00683","fib123-b4-t2","FIBp027","H4"
"FIB00031","fib150-b1-t0","FIBp028","A1"
"FIB00010","fib193-b1-t3","FIBp028","A10"
"FIB00063","fib-150-b1-t8","FIBp028","A2"
"FIB00121","fib150-b2-t7","FIBp028","A3"
"FIB00189","fib150-b3-t4","FIBp028","A4"
"FIB00310","fib150-b4-t3","FIBp028","A5"
"FIB00573","fib150-b5-t0","FIBp028","A6"
"FIB00613","fib150-b5-t8","FIBp028","A7"
"FIB00024","fib162-b1-t7","FIBp028","A8"
"FIB00372","fib162-b2-t4","FIBp028","A9"
"FIB00035","fib150-b1-t1","FIBp028","B1"
"FIB00016","fib193-b1-t5","FIBp028","B10"
