"sampleID","tubeLabel","plateID","wellPos"
"FIB00818","fib112-u1-t0","FIBp018","A1"
"FIB00940","fib112-u2-t8","FIBp018","A2"
"FIB00787","fib117-u1-t2","FIBp018","A3"
"FIB00850","fib-117-u2-t4","FIBp018","A4"
"FIB01018","fib117-u4-t0","FIBp018","A5"
"FIB00972","fib123-u1-t8","FIBp018","A6"
"FIB01105","fib123-u3-t4","FIBp018","A7"
"FIB00827","fib112-u1-t4","FIBp018","B1"
"FIB01066","fib112-u3-t0","FIBp018","B2"
"FIB00854","fib-117-u2-t6","FIBp018","B4"
"FIB01026","fib117-u4-t4","FIBp018","B5"
"FIB01008","fib123-u2-t0","FIBp018","B6"
"FIB01111","fib123-u3-t6","FIBp018","B7"
"FIB00832","fib112-u1-t6","FIBp018","C1"
"FIB01071","fib112-u3-t2","FIBp018","C2"
"FIB00791","fib117-u1-t4","FIBp018","C3"
"FIB00858","fib-117-u2-t8","FIBp018","C4"
"FIB01031","fib117-u4-t6","FIBp018","C5"
"FIB01010","fib123-u2-t2","FIBp018","C6"
"FIB01117","fib123-u3-t8","FIBp018","C7"
"FIB00837","fib-112-u1-t8","FIBp018","D1"
"FIB01076","fib112-u3-t3","FIBp018","D2"
"FIB00795","fib117-u1-t6","FIBp018","D3"
"FIB00902","fib117-u3-t0","FIBp018","D4"
"FIB01036","fib117-u4-t8","FIBp018","D5"
"FIB01012","fib123-u2-t4","FIBp018","D6"
"FIB01128","fib123-u4-t0","FIBp018","D7"
"FIB00906","fib112-u2-t0","FIBp018","E1"
"FIB01078","fib112-u3-t4","FIBp018","E2"
"FIB00799","fib117-u1-t8","FIBp018","E3"
"FIB00909","fib117-u3-t2","FIBp018","E4"
"FIB00952","fib123-u1-t0","FIBp018","E5"
"FIB01014","fib123-u2-t6","FIBp018","E6"
"FIB01133","fib123-u4-t2","FIBp018","E7"
"FIB00910","fib112-u2-t2","FIBp018","F1"
"FIB01083","fib112-u3-t6","FIBp018","F2"
