"sampleID","tubeLabel","plateID","wellPos"
"FIB01207","fib284-b3-t0","FIBp048","A1"
"FIB01231","fib284-b3-t8","FIBp048","A2"
"FIB01229","fib621-b1-t7","FIBp048","A3"
"FIB01221","fib623-b1-t4","FIBp048","A4"
"FIB01210","fib284-b3-t1","FIBp048","B1"
"FIB01208","fib621-b1-t0","FIBp048","B2"
"FIB01224","fib623-b1-t5","FIBp048","B4"
"FIB01213","fib284-b3-t2","FIBp048","C1"
"FIB01211","fib621-b1-t1","FIBp048","C2"
"FIB01232","fib621-b1-t8","FIBp048","C3"
"FIB01227","fib623-b1-t6","FIBp048","C4"
"FIB01216","fib284-b3-t3","FIBp048","D1"
"FIB01214","fib621-b1-t2","FIBp048","D2"
"FIB01209","fib623-b1-t0","FIBp048","D3"
"FIB01230","fib623-b1-t7","FIBp048","D4"
"FIB01219","fib284-b3-t4","FIBp048","E1"
"FIB01217","fib621-b1-t3","FIBp048","E2"
"FIB01212","fib623-b1-t1","FIBp048","E3"
"FIB01233","fib623-b1-t8","FIBp048","E4"
"FIB01222","fib284-b3-t5","FIBp048","F1"
"FIB01220","fib621-b1-t4","FIBp048","F2"
"FIB01215","fib623-b1-t2","FIBp048","F3"
"FIB01225","fib284-b3-t6","FIBp048","G1"
"FIB01223","fib621-b1-t5","FIBp048","G2"
"FIB01228","fib284-b3-t7","FIBp048","H1"
"FIB01226","fib621-b1-t6","FIBp048","H2"
"FIB01218","fib623-b1-t3","FIBp048","H3"
