"sampleID","tubeLabel","plateID","wellPos"
"FIB01234","fib284-u3-t0","FIBp051","A1"
"FIB01244","fib621-u5-t6","FIBp051","A2"
"FIB01237","fib284-u3-t2","FIBp051","B1"
"FIB01247","fib621-u5-t8","FIBp051","B2"
"FIB01240","fib284-u3-t4","FIBp051","C1"
"FIB01236","fib623-u1-t0","FIBp051","C2"
"FIB01243","fib284-u3-t6","FIBp051","D1"
"FIB01239","fib623-u3-t2","FIBp051","D2"
"FIB01246","fib284-u3-t8","FIBp051","E1"
"FIB01242","fib623-u3-t4","FIBp051","E2"
"FIB01235","fib621-u1-t0","FIBp051","F1"
"FIB01245","fib623-u3-t6","FIBp051","F2"
"FIB01238","fib621-u5-t2","FIBp051","G1"
"FIB01248","fib623-u3-t8","FIBp051","G2"
"FIB01241","fib621-u5-t4","FIBp051","H1"
